Année,,Référence,Solution,Durée de la relation (en mois),Durée du préavis,Durée raisonnable
2017,,"CA Paris, 20 janvier 2017, n° 14/25756",Suffisant,48,6,6
2017,,"CA Paris, 2 mars 2017, n° 15/10786",Suffisant,35,9,9
2017,,"CA Paris, 13 mars 2017, n° 15/08749",Suffisant,60,3,3
2017,,"CA Paris, 19 avril 2017, n° 15/24221",Suffisant,50,8,8
2017,,"CA Paris, 26 avril 2017, n° 15/10316",Suffisant,36,7,7
2017,,"CA Bastia, 3 mai 2017, n° 16/00066",Suffisant,48,3,3
2017,,"CA Paris, 5 juillet 2017, n° 17/08926",Suffisant,60,5,5
2017,,"CA Paris, 6 juillet 2017, n° 15/25066",Suffisant,30,6,6
2017,,"CA Paris, 27 septembre 2017, n° 15/24236",Suffisant,19,11,11
2017,,"CA Paris, 27 septembre 2017, n° 15/24236",Suffisant,52,4,4
2017,,"CA Paris, 1ermars 2017, n° 15/22080",Suffisant,96,21,21
2017,,"CA Paris, 22 mars 2017, n° 14/26013",Suffisant,96,10,10
2017,,"CA Paris, 23 mars 2017, n° 15/20511",Suffisant,96,6,6
2017,,"CA Paris, 3 mai 2017, n° 14/22028",Suffisant,84,12,12
2017,,"CA Paris, 10 mai 2017, n° 15/07726",Suffisant,108,6,6
2017,,"CA Paris, 24 mai 2017, n° 14/22580",Suffisant,93,9,9
2017,,"CA Paris, 31 mai 2017, n° 15/15974",Suffisant,60,8,8
2017,,"CA Aix-en-Provence, 8 juin 2017, n° 15/13785",Suffisant,60,7,7
2017,,"CA Paris, 22 juin 2017, n° 15/20572",Suffisant,108,10,10
2017,,"CA Paris, 27 septembre 2017, n° 15/24526",Suffisant,96,18,18
2017,,"CA Paris, 11 octobre 2017, n° 15/22585",Suffisant,180,15,15
2017,,"CA Paris, 15 novembre 2017, n° 15/22542",Suffisant,168,10.5,10.5
2017,,"CA Paris, 15 novembre 2017, n° 15/22542",Suffisant,168,14.5,14.5
